agency_id,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
3,101,101,"Mariner P&R - Aurora Village TC",3,0070C0,FFFFFF,https://www.communitytransit.org/route/101
3,102,102,"Edmonds Station - Lynnwood City Center Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/102
3,103,103,"Hardeson Road - Lynnwood City Center Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/103
3,106,106,"Mariner P&R - UW Bothell/Cascadia College",3,0070C0,FFFFFF,https://www.communitytransit.org/route/106
3,109,109,"Ash Way P&R - Lake Stevens TC",3,0070C0,FFFFFF,https://www.communitytransit.org/route/109
3,111,111,"Brier - Mountlake Terrace Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/111
3,112,112,"Mountlake Terrace Station - Ash Way P&R",3,0070C0,FFFFFF,https://www.communitytransit.org/route/112
3,114,114,"Aurora Village TC - Lynnwood City Center Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/114
3,117,117,"Mukilteo Ferry - Lynnwood City Center Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/117
3,119,119,"Ash Way P&R - Mountlake Terrace Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/119
3,120,120,"UW Bothell/Cascadia - Lynnwood City Center Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/120
3,121,121,"Ash Way P&R - Canyon Park P&R/UW Bothell/Cascadia",3,0070C0,FFFFFF,https://www.communitytransit.org/route/121
3,130,130,"Edmonds Station - Lynnwood City Center Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/130
3,166,166,"Edmonds Station - Silver Firs",3,0070C0,FFFFFF,https://www.communitytransit.org/route/166
3,201,201,"Smokey Point TC - Lynnwood City Center Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/201
3,202,202,"Smokey Point TC - Lynnwood City Center Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/202
3,209,209,"Smokey Point TC - Lake Stevens TC",3,0070C0,FFFFFF,https://www.communitytransit.org/route/209
3,220,220,"Arlington - Smokey Point TC",3,0070C0,FFFFFF,https://www.communitytransit.org/route/220
3,222,222,"Marysville - Tulalip",3,0070C0,FFFFFF,https://www.communitytransit.org/route/222
3,230,230,"Darrington - Smokey Point TC",3,0070C0,FFFFFF,https://www.communitytransit.org/route/230
3,240,240,"Stanwood Downtown - Smokey Point TC",3,0070C0,FFFFFF,https://www.communitytransit.org/route/240
3,270,270,"Gold Bar - Everett Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/270
3,271,271,"Gold Bar - Everett Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/271
3,280,280,"Lake Stevens/Granite Falls P&R - Everett Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/280
3,424,424,"Snohomish P&R - Seattle",3,0070C0,FFFFFF,https://www.communitytransit.org/route/424
6,510,510,"Everett Station - Seattle",3,2B376E,FFFFFF,https://www.soundtransit.org/ride-with-us/routes-schedules/510
6,512,512,"Everett Station - Lynnwood City Center Station",3,2B376E,FFFFFF,https://www.soundtransit.org/ride-with-us/routes-schedules/512
6,513,513,"Lynnwood City Center Station - Seaway TC",3,2B376E,FFFFFF,https://www.soundtransit.org/ride-with-us/routes-schedules/513
6,515,515,"Lynnwood City Center Station - Seattle",3,2B376E,FFFFFF,https://www.soundtransit.org/ride-with-us/routes-schedules/515
6,532,532,"Everett Station - Bellevue",3,2B376E,FFFFFF,https://www.soundtransit.org/ride-with-us/routes-schedules/532
6,535,535,"Lynnwood City Center Station - Bellevue",3,2B376E,FFFFFF,https://www.soundtransit.org/ride-with-us/routes-schedules/535
3,701,Swift Blue,"Everett Station - Shoreline North/185th Station",5,006CFF,FFFFFF,https://www.communitytransit.org/route/701
3,702,Swift Green,"Seaway TC - Canyon Park P&R",5,00AA00,FFFFFF,https://www.communitytransit.org/route/702
3,703,Swift Orange,"Edmonds College - McCollum Park P&R",5,F24C21,FFFFFF,https://www.communitytransit.org/route/703
3,901,901,"Silver Firs - Lynnwood City Center Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/901
3,903,903,"Lake Stevens TC - Lynnwood City Center Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/903
3,904,904,"Marysville - Lynnwood City Center Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/904
3,905,905,"Stanwood Downtown - Lynnwood City Center Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/905
3,907,907,"Stanwood I-5 P&R - Seaway TC",3,0070C0,FFFFFF,https://www.communitytransit.org/route/907
3,909,909,"Edmonds Station - Mountlake Terrace Station",3,0070C0,FFFFFF,https://www.communitytransit.org/route/909
