route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,ct_cardinal_direction
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733363__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"Lynnwood City Center Station",0,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:116,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733364__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:114,1,1,E
240,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733365__MCOB-DO:113:6:Sunday:1:24SEP:31003:1234567,"Stanwood",0,MCOB-DO:113:6:Sunday:1:24SEP:31003:1234567,240:58,1,1,W
220,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733366__MCOB-DO:113:6:Sunday:1:24SEP:31004:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:1:24SEP:31004:1234567,220:43,1,1,W
220,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733367__MCOB-DO:113:6:Sunday:1:24SEP:31004:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:1:24SEP:31004:1234567,220:43,1,1,W
220,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733368__MCOB-DO:113:6:Sunday:1:24SEP:31003:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:1:24SEP:31003:1234567,220:43,1,1,W
220,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733369__MCOB-DO:113:6:Sunday:1:24SEP:31001:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:1:24SEP:31001:1234567,220:43,1,1,W
220,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733370__MCOB-DO:113:6:Sunday:1:24SEP:31004:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:1:24SEP:31004:1234567,220:43,1,1,W
220,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733371__MCOB-DO:113:6:Sunday:1:24SEP:31004:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:1:24SEP:31004:1234567,220:43,1,1,W
220,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733372__MCOB-DO:113:6:Sunday:1:24SEP:31003:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:1:24SEP:31003:1234567,220:43,1,1,W
220,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733373__MCOB-DO:113:6:Sunday:1:24SEP:31003:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:1:24SEP:31003:1234567,220:43,1,1,W
220,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733374__MCOB-DO:113:6:Sunday:1:24SEP:31001:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:1:24SEP:31001:1234567,220:43,1,1,W
220,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733375__MCOB-DO:113:6:Sunday:1:24SEP:31001:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:1:24SEP:31001:1234567,220:43,1,1,W
220,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733376__MCOB-DO:113:6:Sunday:1:24SEP:31004:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:1:24SEP:31004:1234567,220:43,1,1,W
220,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733377__MCOB-DO:113:6:Sunday:1:24SEP:31003:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:1:24SEP:31003:1234567,220:43,1,1,W
220,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733378__MCOB-DO:113:6:Sunday:1:24SEP:31003:1234567,"Smokey Point",0,MCOB-DO:113:6:Sunday:1:24SEP:31003:1234567,220:43,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733379__MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,"Lynnwood City Center Station",0,MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,120:116,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733380__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"Lynnwood City Center Station",0,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:116,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733381__MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,"Lynnwood City Center Station",0,MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,120:116,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733382__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"Lynnwood City Center Station",0,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:116,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733383__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"Lynnwood City Center Station",0,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:116,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733384__MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,"Lynnwood City Center Station",0,MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,120:116,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733385__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"Lynnwood City Center Station",0,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:116,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733386__MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,120:114,1,1,E
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733387__MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,"Lynnwood City Center Station",0,MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,120:116,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733388__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"Lynnwood City Center Station",0,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:116,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733389__MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,"Lynnwood City Center Station",0,MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,120:116,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733390__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"Lynnwood City Center Station",0,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:116,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733391__MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,"Lynnwood City Center Station",0,MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,120:116,1,1,W
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733392__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:114,1,1,E
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733393__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:114,1,1,E
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733394__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:114,1,1,E
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733395__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:114,1,1,E
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733396__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:114,1,1,E
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733397__MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,120:114,1,1,E
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733398__MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,120:114,1,1,E
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733399__MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,120:114,1,1,E
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733400__MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:113:6:Sunday:1:24SEP:31007:1234567,120:114,1,1,E
120,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733401__MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:113:6:Sunday:1:24SEP:31005:1234567,120:114,1,1,E
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733402__MCOB-DO:113:6:Sunday:1:24SEP:41010:1234567,"Lynnwood City Center Station",1,MCOB-DO:113:6:Sunday:1:24SEP:41010:1234567,130:135,1,1,E
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733403__MCOB-DO:113:6:Sunday:1:24SEP:41007:1234567,"Lynnwood City Center Station",1,MCOB-DO:113:6:Sunday:1:24SEP:41007:1234567,130:135,1,1,E
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733404__MCOB-DO:113:6:Sunday:1:24SEP:41015:1234567,"Lynnwood City Center Station",1,MCOB-DO:113:6:Sunday:1:24SEP:41015:1234567,130:135,1,1,E
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733405__MCOB-DO:113:6:Sunday:1:24SEP:41021:1234567,"Lynnwood City Center Station",1,MCOB-DO:113:6:Sunday:1:24SEP:41021:1234567,130:135,1,1,E
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733406__MCOB-DO:113:6:Sunday:1:24SEP:41015:1234567,"Lynnwood City Center Station",1,MCOB-DO:113:6:Sunday:1:24SEP:41015:1234567,130:135,1,1,E
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733407__MCOB-DO:113:6:Sunday:1:24SEP:41041:1234567,"Lynnwood City Center Station",1,MCOB-DO:113:6:Sunday:1:24SEP:41041:1234567,130:135,1,1,E
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733408__MCOB-DO:113:6:Sunday:1:24SEP:41015:1234567,"Lynnwood City Center Station",1,MCOB-DO:113:6:Sunday:1:24SEP:41015:1234567,130:135,1,1,E
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733409__MCOB-DO:113:6:Sunday:1:24SEP:41041:1234567,"Lynnwood City Center Station",1,MCOB-DO:113:6:Sunday:1:24SEP:41041:1234567,130:135,1,1,E
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733410__MCOB-DO:113:6:Sunday:1:24SEP:41056:1234567,"Lynnwood City Center Station",1,MCOB-DO:113:6:Sunday:1:24SEP:41056:1234567,130:135,1,1,E
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733411__MCOB-DO:113:6:Sunday:1:24SEP:41060:1234567,"Lynnwood City Center Station",1,MCOB-DO:113:6:Sunday:1:24SEP:41060:1234567,130:135,1,1,E
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733412__MCOB-DO:113:6:Sunday:1:24SEP:41010:1234567,"Edmonds",0,MCOB-DO:113:6:Sunday:1:24SEP:41010:1234567,130:142,1,1,W
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733413__MCOB-DO:113:6:Sunday:1:24SEP:41036:1234567,"Lynnwood City Center Station",1,MCOB-DO:113:6:Sunday:1:24SEP:41036:1234567,130:135,1,1,E
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733414__MCOB-DO:113:6:Sunday:1:24SEP:41018:1234567,"Lynnwood City Center Station",1,MCOB-DO:113:6:Sunday:1:24SEP:41018:1234567,130:135,1,1,E
202,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733415__MCOB-DO:113:6:Sunday:1:24SEP:41024:1234567,"Smokey Point",1,MCOB-DO:113:6:Sunday:1:24SEP:41024:1234567,202:94,1,1,N
130,MCOB-DO:113:6:Sunday:1:24SEP:1234567,12733416__MCOB-DO:113:6:Sunday:1:24SEP:41018:1234567,"Lynnwood City Center Station",1,MCOB-DO:113:6:Sunday:1:24SEP:41018:1234567,130:135,1,1,E
